dataset,method,K,tau,eta,nprobe,recall50,qps,avg_full_eval,rc,wall_time_sec
SPLADE-FULL (8.84M),CABS,32,0.7,0.03,12,0.9955,51.5713,201027.0,0,1520.093090057373
SPLADE-FULL (8.84M),CABS,32,0.8,0.005,1,0.684,703.856,2462.46,0,2686.815093755722
SPLADE-FULL (8.84M),CABS,32,0.8,0.005,2,0.8279,455.824,4769.38,0,2686.815093755722
SPLADE-FULL (8.84M),CABS,32,0.8,0.005,3,0.8762,355.336,7066.38,0,2686.815093755722
SPLADE-FULL (8.84M),CABS,32,0.8,0.005,5,0.9381,251.954,11465.4,0,2686.815093755722
SPLADE-FULL (8.84M),CABS,32,0.8,0.005,8,0.9571,181.249,17998.7,0,2686.815093755722
SPLADE-FULL (8.84M),CABS,32,0.8,0.005,12,0.9696,130.42,26851.5,0,2686.815093755722
SPLADE-FULL (8.84M),CABS,32,0.8,0.01,1,0.7036,685.436,4874.57,0,1499.1288261413574
SPLADE-FULL (8.84M),CABS,32,0.8,0.01,2,0.8458,391.417,9438.13,0,1499.1288261413574
SPLADE-FULL (8.84M),CABS,32,0.8,0.01,3,0.8929,306.942,13981.8,0,1499.1288261413574
SPLADE-FULL (8.84M),CABS,32,0.8,0.01,5,0.9521,210.059,22679.1,0,1499.1288261413574
SPLADE-FULL (8.84M),CABS,32,0.8,0.01,8,0.9702,144.702,35594.6,0,1499.1288261413574
SPLADE-FULL (8.84M),CABS,32,0.8,0.01,12,0.9817,115.716,53098.7,0,1499.1288261413574
SPLADE-FULL (8.84M),CABS,32,0.8,0.02,1,0.7167,487.862,9698.75,0,1484.419716835022
SPLADE-FULL (8.84M),CABS,32,0.8,0.02,2,0.8577,276.384,18775.5,0,1484.419716835022
SPLADE-FULL (8.84M),CABS,32,0.8,0.02,3,0.9034,199.752,27812.5,0,1484.419716835022
SPLADE-FULL (8.84M),CABS,32,0.8,0.02,5,0.9608,127.343,45106.4,0,1484.419716835022
SPLADE-FULL (8.84M),CABS,32,0.8,0.02,8,0.978,85.251,70785.9,0,1484.419716835022
SPLADE-FULL (8.84M),CABS,32,0.8,0.02,12,0.9884,73.6643,105592.0,0,1484.419716835022
SPLADE-FULL (8.84M),CABS,32,0.8,0.03,1,0.7228,576.402,14522.9,0,1482.7223017215729
SPLADE-FULL (8.84M),CABS,32,0.8,0.03,2,0.8626,314.593,28112.7,0,1482.7223017215729
SPLADE-FULL (8.84M),CABS,32,0.8,0.03,3,0.9078,222.542,41643.0,0,1482.7223017215729
SPLADE-FULL (8.84M),CABS,32,0.8,0.03,5,0.9644,141.387,67533.3,0,1482.7223017215729
SPLADE-FULL (8.84M),CABS,32,0.8,0.03,8,0.9814,91.7213,105977.0,0,1482.7223017215729
SPLADE-FULL (8.84M),CABS,32,0.8,0.03,12,0.9914,35.9132,158085.0,0,1482.7223017215729
